cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Grenache gris,Rivesaltes tuilé hors d'âge,AOC/AOP,Tuilé,Languedoc-roussillon
Chardonnay blanc,Mâcon Solutré-Pouilly blanc,AOC/AOP,Blanc,Bourgogne
Petit Verdot noir,Ariège rouge,IGP,Rouge,Languedoc-roussillon
Carmenère noir,Bordeaux clairet,AOC/AOP,Clairet,Bordeaux
Cabernet-Sauvignon noir,Pays d'Oc rosé sur lie,IGP,Rosé,Languedoc-roussillon
Verdelho blanc,Vicomté d'Aumelas blanc,IGP,Blanc,Languedoc-roussillon
Egiodola noir,Cité de Carcassonne rouge,IGP,Rouge,Languedoc-roussillon
Petit Manseng blanc,Jurançon sec,AOC/AOP,Blanc,Sud-ouest
Pinot blanc,Santenay blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Pays d'Oc rouge nouveau,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Pinot gris,Alsace grand cru kirchberg de ribeauville grains nobles pinot gris,AOC/AOP,Blanc,Alsace
Plant de Brunel noir,Coteaux des Baronnies rosé,IGP,Rosé,Rhône
Parellada blanc,Coteaux de Narbonne rouge,IGP,Rouge,Languedoc-roussillon
Riesling blanc,Alsace grand cru schlossberg riesling,AOC/AOP,Blanc,Alsace
Nielluccio noir,Pays d'Oc gris de gris mousseux,IGP,Gris,Languedoc-roussillon
Semebat noir,Atlantique rouge,IGP,Rouge,Bordeaux
Plant de Brunel noir,Alpes-Maritimes blanc,IGP,Blanc,Provence-corse
Mauzac blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Aligoté blanc,Bourgogne aligoté,AOC/AOP,Blanc,Bourgogne
Pinot blanc,Beaune premier cru Les Chouacheux blanc,AOC/AOP,Blanc,Bourgogne
Pinot gris,Alsace grand cru zinnkoepfle vendanges tardives pinot gris,AOC/AOP,Blanc,Alsace
Marsanne blanc,Côtes du Rhône Villages Saint-Pantaléon-les-Vignes blanc,AOC/AOP,Blanc,Rhône
Chardonnay blanc,Puligny-Montrachet premier cru La Garenne blanc,AOC/AOP,Blanc,Bourgogne
Muscadelle blanc,Premières Côtes de Bordeaux,AOC/AOP,Blanc,Bordeaux
Colombard blanc,Coteaux de Glanes blanc,IGP,Blanc,Sud-ouest
Terret blanc,Périgord blanc,IGP,Blanc,Bordeaux
Ribol noir,Atlantique rouge,IGP,Rouge,Bordeaux
Gewurztraminer rosé,Alsace grand cru sonnenglanz grains nobles gewurztraminer,AOC/AOP,Blanc,Alsace
Gewurztraminer rosé,Alsace grand cru moenchberg grains nobles gewurztraminer,AOC/AOP,Blanc,Alsace
Riesling blanc,Alsace grand cru hengst riesling,AOC/AOP,Blanc,Alsace
Arriloba blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Roussanne blanc,Périgord blanc,IGP,Blanc,Bordeaux
Chardonnay blanc,Pernand-Vergelesses premier cru blanc,AOC/AOP,Blanc,Bourgogne
Muscat à petits grains rosé,Alsace grand cru kitterle vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Pinot noir,Fixin premier cru Clos du Chapitre rouge,AOC/AOP,Rouge,Bourgogne
Pinot blanc,Monthélie premier cru Les Clous blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Odenas rosé nouveau,AOC/AOP,Rosé,Beaujolais
Franc noir de Haute-Saône noir,Périgord rosé,IGP,Rosé,Bordeaux
Baco blanc,Côtes du Brian rouge,IGP,Rouge,Languedoc-roussillon
Mourvèdre noir,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Florental noir,Drôme rouge,IGP,Rouge,Rhône
Mondeuse blanche blanc,Vin de Savoie blanc,AOC/AOP,Blanc,Savoie bugey
Marsanne blanc,Côtes du Rhône Villages Visan blanc,AOC/AOP,Blanc,Rhône
Mondeuse noir,Pays d'Oc gris mousseux,IGP,Gris,Languedoc-roussillon
Villard blanc,Côtes de Thongue rosé,IGP,Rosé,Languedoc-roussillon
Sémillon blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Altesse blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Valdiguié noir,Atlantique rouge,IGP,Rouge,Bordeaux
Villard blanc,Maures rouge,IGP,Rouge,Provence-corse
Carignan noir,Cité de Carcassonne rosé,IGP,Rosé,Languedoc-roussillon
Meslier Saint-François blanc,Périgord blanc,IGP,Blanc,Bordeaux
Velteliner rouge précoce rosé,Périgord blanc,IGP,Blanc,Bordeaux
Chenin blanc,Pays d'Oc blanc mousseux,IGP,Blanc,Languedoc-roussillon
Gamay noir,Mâcon Burgy rosé,AOC/AOP,Rosé,Bourgogne
Servanin noir,Périgord rouge,IGP,Rouge,Bordeaux
Chardonnay blanc,Chassagne-Montrachet premier cru Blanchot dessus blanc,AOC/AOP,Blanc,Bourgogne
Carignan noir,Côtes du Roussillon Villages,AOC/AOP,Rouge,Languedoc-roussillon
Pinot gris,Coteaux de Tannay blanc,IGP,Blanc,Bourgogne
Pinot noir,Pommard premier cru Les Croix Noires,AOC/AOP,Rouge,Bourgogne
Tannat noir,Saint-Sardos rosé,AOC/AOP,Rosé,Sud-ouest
Chardonnay blanc,Beaujolais Saint-Lager blanc,AOC/AOP,Blanc,Beaujolais
Carignan noir,Beaumes de Venise,AOC,Rouge,Rhône
Pinot blanc,Chassagne-Montrachet premier cru Les Champs gain blanc,AOC/AOP,Blanc,Bourgogne
Gros Manseng blanc,Comté Tolosan blanc,IGP,Blanc,Armagnac
Pinot noir,Bourgogne Passe-tout-grains rouge,AOC/AOP,Rouge,Bourgogne
Muscadelle blanc,Bordeaux supérieur blanc,AOC/AOP,Blanc,Bordeaux
Cot noir,Bordeaux rosé,AOC/AOP,Rosé,Bordeaux
Gamay noir,Bugey rouge,AOC/AOP,Rouge,Savoie bugey
Clairette blanc,Châteauneuf-du-Pape rouge,AOC/AOP,Rouge,Rhône
Ugni blanc,Côtes de Blaye,AOC/AOP,Blanc,Bordeaux
Syrah noir,Comté Tolosan rouge,IGP,Rouge,Armagnac
Chardonnay blanc,Sainte-Marie-la-Blanche blanc,IGP,Blanc,Bourgogne
Muscat Ottonel blanc,Alsace grand cru Altenberg de Wolxheim vendanges tardives Muscat,AOC/AOP,Blanc,Alsace
Pinot noir,Chassagne-Montrachet premier cru Les Fairendes rouge,AOC/AOP,Rouge,Bourgogne
Marselan noir,Côtes de Gascogne rouge,IGP,Rouge,Sud-ouest
Cabernet-Franc noir,Cabernet de Saumur nouveau,AOC/AOP,Rosé,Loire
Rubilande rosé,Côtes de Thau rouge,IGP,Rouge,Languedoc-roussillon
