cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Pinot noir,Rully premier cru Grésigny rouge,AOC/AOP,Rouge,Bourgogne
Carignan noir,Côtes du Roussillon rouge,AOC/AOP,Rouge,Languedoc-roussillon
Syrah noir,Pays d'Oc rouge de raisins surmûris,IGP,Rouge,Languedoc-roussillon
Grenache noir,Banyuls traditionnel rancio hors d'âge,AOC/AOP,Rouge,Languedoc-roussillon
Sauvignon blanc,Bordeaux blanc,AOC/AOP,Blanc,Bordeaux
Gamay noir,Régnié,AOC/AOP,Rouge,Beaujolais
Gamay noir,Beaujolais rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Chablis premier cru Vaugiraut,AOC/AOP,Blanc,Bourgogne
Pinot noir,Morey-Saint-Denis premier cru Clos Sorbè rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Côtes de Duras rosé,AOC/AOP,Rosé,Sud-ouest
Grenache noir,Côtes du Rhône Villages Rousset-les-Vignes rouge,AOC/AOP,Rouge,Rhône
Syrah noir,Haute-Marne rosé,IGP,Rosé,Champagne
Cabernet-Franc noir,Agenais rouge,IGP,Rouge,Sud-ouest
Pinot noir,Givry premier cru Clos du Cellier aux Moines rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Coteaux de Glanes blanc,IGP,Blanc,Sud-ouest
Colombard blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Carignan noir,Sable de Camargue gris de gris,IGP,Gris,Languedoc-roussillon
Grenache noir,Gigondas rouge,AOC/AOP,Rouge,Rhône
Gamay noir,Beaujolais Vaux-en-Beaujolais rouge nouveau,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Saint-Aubin premier cru Bas de Vermarain à l'Est blanc,AOC/AOP,Blanc,Bourgogne
Merlot noir,Pauillac,AOC/AOP,Rouge,Bordeaux
Pinot noir,Givry premier cru Clos Marceaux rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Anjou mousseux rosé,AOC/AOP,Rosé,Loire
Pinot noir,Meursault premier cru La Jeunellotte rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Gevrey-Chambertin premier cru La Bossière,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chablis Grand Cru Preuses,AOC/AOP,Blanc,Bourgogne
Syrah noir,Ventoux nouveau rosé,AOC/AOP,Rosé,Rhône
Pinot noir,Pommard premier cru Les Rugiens Hauts,AOC/AOP,Rouge,Bourgogne
Gamay noir,Côtes d'Auvergne Corent rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Mâcon Loché blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Calvados blanc,IGP,Blanc,Loire
Pinot noir,Rully premier cru Margotés rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Pays d'Oc gris,IGP,Gris,Languedoc-roussillon
Gamay noir,Mâcon Burgy rouge,AOC/AOP,Rouge,Bourgogne
