Interet,Email,Sexe,Age,Acti.,Famil.,CodeP.,AmourVin,Orga.,Particip.,Atti_Choix,Atti_Date,Atti_Paie.,Atti_Guide,Atti_VR,Atti_Jeux,Atti_Profil,Atti_Photo,Atti_Support,Util_Choix,Util_Date,Util_Paie.,Util_Guide,Util_VR,Util_Jeux,Util_Profil,Util_Photo,Util_Support,Ob_Choix,Ob_Prix,Ob_Rebours.,Ob_Inconnu,Ob_TropFormel,Ob_Plaise,Ob_QuantiVin,Ob_Diversi.,Ob_Mener,Ob_Orga.,Ob_Materiel,At_BonMoment,At_MoinsCher,At_QualiVin,At_DiversiVin,At_MoinsFormel,At_ToutPublic,At_Decouvrir,At_ApprendreChoisir,At_MetVin,At_LibreDeroul.,At_Storytelling
3,0,2,39,1,4,32490,1,0,0,4,4,3,4,3,3,4,4,3,4,4,3,4,2,3,4,4,3,3,3,5,1,3,3,3,3,4,5,4,5,3,4,3,3,4,3,5,4,3,4
2,0,1,47,3,4,32490,2,0,0,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
4,2,2,52,3,3,31620,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,5,4
2,0,1,46,3,3,31700,2,0,0,4,1,3,2,1,4,4,1,3,1,4,4,4,1,1,4,1,4,3,2,3,4,4,3,3,3,5,4,4,5,4,4,4,2,4,4,3,4,4,3
3,0,2,46,3,4,31500,2,0,0,4,3,3,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3,3,3,2,4,4,4,3,4,5,4,4,4,2,4,4,3,4,4,4,4,3,4
5,2,2,31,3,3,92600,3,0,0,5,5,5,5,4,5,5,3,4,5,5,5,5,4,5,5,3,5,2,1,1,1,2,1,1,1,1,1,1,5,1,3,4,4,4,5,5,5,3,4
2,0,2,30,3,3,31300,2,0,0,2,4,4,2,2,2,4,1,1,3,4,4,5,1,3,5,2,1,2,3,3,1,4,4,3,4,4,3,3,5,1,3,3,2,2,5,2,5,2,4
4,0,1,31,3,1,42000,2,0,0,4,4,3,3,3,4,4,3,4,4,3,5,5,3,4,4,3,4,2,3,2,2,2,2,3,2,2,3,4,4,3,3,4,3,3,5,4,4,3,4
4,1,1,30,3,4,31200,3,1,1,3,4,3,3,4,4,3,3,4,3,5,4,4,3,3,4,2,4,3,2,2,2,3,2,1,2,3,3,3,4,3,4,4,4,3,4,3,4,4,4
4,0,1,26,3,3,31170,3,0,0,4,4,4,2,2,3,4,2,3,4,3,4,2,2,2,3,1,2,2,3,3,3,4,4,4,2,2,4,4,5,4,4,4,3,4,4,4,4,2,4
,,2,38,2,3,26000,3,0,0,1,2,2,3,1,3,5,1,1,1,3,5,4,1,2,5,1,2,5,4,2,4,4,1,4,3,3,3,4,5,4,4,3,4,1,5,4,4,4,5
5,2,1,23,3,1,31300,3,0,0,5,5,2,5,3,3,5,4,2,5,3,2,5,3,2,5,4,3,3,2,1,1,3,5,5,1,3,2,2,5,3,4,5,3,5,5,5,5,3,4
3,0,2,29,3,3,31000,3,0,0,5,4,4,2,1,3,4,3,4,5,5,3,2,3,2,3,2,3,4,4,3,1,5,5,5,4,3,1,1,5,5,5,5,3,5,4,4,5,3,5
